station_id,district_code,district_name,lon_etrs89,lat_etrs89,mapping_method,boundary_source
NI_100000481,03153,Goslar,10.4076744,51.9892088,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000605,03159,Göttingen,9.9352476,51.4923066,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000636,03151,Gifhorn,10.6228076,52.7052441,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000742,03151,Gifhorn,10.9112994,52.5920275,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000816,03157,Peine,10.4008471,52.3602514,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000836,03154,Helmstedt,10.6514343,52.3296832,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000840,03103,Wolfsburg,10.685076,52.3872835,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000856,03154,Helmstedt,10.9831608,52.3867269,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000886,03101,Braunschweig,10.4398179,52.2381798,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000890,03154,Helmstedt,10.9814089,52.277073,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000908,03102,Salzgitter,10.4338831,52.1639953,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000922,03154,Helmstedt,10.9715105,52.1097669,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000938,03158,Wolfenbüttel,10.6350734,52.0242261,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_100000948,03155,Northeim,10.1045383,51.7965165,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_119700002,03155,Northeim,9.8431522,51.8288852,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_127800015,03154,Helmstedt,10.7957652,52.2923623,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_13610470,03459,Osnabrück,7.8844732,52.5535788,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200000590,03256,Nienburg (Weser),9.1670989,52.8470453,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200000636,03251,Diepholz,8.5772133,52.7765655,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200000876,03251,Diepholz,8.393123,52.6290953,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200000964,03256,Nienburg (Weser),9.1561356,52.6295871,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200001382,03251,Diepholz,8.4428027,52.4610026,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200001392,03256,Nienburg (Weser),8.7171686,52.4517025,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200001410,03256,Nienburg (Weser),8.9605631,52.4428716,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200001723,03256,Nienburg (Weser),9.263327,52.7195523,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200001725,03251,Diepholz,8.6929156,52.5482173,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200001731,03251,Diepholz,8.9106874,52.8475268,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_200002154,03251,Diepholz,8.6118244,52.6234785,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_2412220,03453,Cloppenburg,7.8158463,52.8817648,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000075,03241,Region Hannover,9.493076,52.5996704,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000231,03241,Region Hannover,9.8483982,52.5490064,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000277,03257,Schaumburg,9.3442878,52.4349375,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000285,03241,Region Hannover,9.7042,52.4284483,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000359,03252,Hameln-Pyrmont,9.370322,52.2091356,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000365,03241,Region Hannover,9.7307837,52.2756755,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000437,03255,Holzminden,9.5472078,52.0098799,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40000953,03257,Schaumburg,9.1289069,52.1856396,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40003417,03241,Region Hannover,9.5378341,52.4525288,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080011,03352,Cuxhaven,8.6865004,53.5503205,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080032,03357,Rotenburg (Wümme),9.2861337,53.3152515,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080041,03352,Cuxhaven,8.6013277,53.375251,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080051,03357,Rotenburg (Wümme),9.0748845,53.2632771,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080091,03352,Cuxhaven,8.8953275,53.4204541,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080111,03352,Cuxhaven,9.0228729,53.817837,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080131,03359,Stade,9.3928688,53.4041809,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080141,03359,Stade,9.5229437,53.4090816,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080151,03352,Cuxhaven,8.6218119,53.8675771,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_400080161,03359,Stade,9.3740625,53.5516073,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40501081,03454,Emsland,7.1879886,52.9406448,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40502220,03454,Emsland,7.634219,52.9189863,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40505301,03454,Emsland,7.1537132,52.6086205,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40507271,03456,Grafschaft Bentheim,6.812831,52.5834031,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40507391,03456,Grafschaft Bentheim,6.8070927,52.5377329,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40507510,03456,Grafschaft Bentheim,7.1243253,52.3793468,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40507661,03456,Grafschaft Bentheim,7.1937153,52.5107553,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_40507820,03456,Grafschaft Bentheim,7.0793117,52.2569385,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000009,03358,Heidekreis,9.8340944,52.9733722,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000012,03361,Verden,9.044906,53.1298727,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000015,03356,Osterholz,8.8776684,53.2365685,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000091,03351,Celle,10.2706898,52.6850103,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000098,03357,Rotenburg (Wümme),9.358258,52.9888371,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000401,03351,Celle,10.2124009,52.8935472,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000487,03357,Rotenburg (Wümme),9.4781664,53.1840803,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000526,03357,Rotenburg (Wümme),9.5191872,53.0693399,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000715,03358,Heidekreis,9.6838731,52.8561823,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000725,03357,Rotenburg (Wümme),9.6549855,53.1913252,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500000729,03356,Osterholz,8.6880782,53.190677,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_500002797,03351,Celle,10.0040071,52.7986731,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600040091,03355,Lüneburg,10.7354427,53.1488647,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600040261,03355,Lüneburg,10.3306147,53.25522,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600040281,03354,Lüchow-Dannenberg,11.2385764,52.9218401,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600040341,03355,Lüneburg,10.5052691,53.3337062,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600040611,03353,Harburg,9.6381564,53.3699583,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600040761,03353,Harburg,9.6501432,53.2304742,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600041051,03360,Uelzen,10.4817859,53.078529,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600041351,03360,Uelzen,10.6379378,52.8214563,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_600041571,03360,Uelzen,10.7862655,53.0049736,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9610315,03461,Wesermarsch,8.445963,53.3452317,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9610319,03461,Wesermarsch,8.3083181,53.5688609,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9610399,03458,Oldenburg,8.2676051,52.9550684,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9610751,03458,Oldenburg,8.5736751,53.032875,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9610757,03461,Wesermarsch,8.5390432,53.1313205,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9611171,03405,Wilhelmshaven,8.0590799,53.5844227,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9611187,03451,Ammerland,8.1758919,53.3143814,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9611197,03451,Ammerland,8.2337924,53.2716987,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700028,03453,Cloppenburg,7.9548655,52.9913304,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700043,03460,Vechta,8.2644609,52.7581491,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700119,03459,Osnabrück,8.1183224,52.135333,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700155,03459,Osnabrück,8.338237,52.1427895,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700159,03460,Vechta,8.1144688,52.6198425,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700211,03459,Osnabrück,8.4154341,52.3140774,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700223,03453,Cloppenburg,7.7708821,53.0755585,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700232,03459,Osnabrück,7.9642561,52.0709665,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700246,03460,Vechta,8.2274328,52.4983503,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700272,03459,Osnabrück,7.7287696,52.4349772,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9700294,03459,Osnabrück,7.9599803,52.5304643,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9840011,03402,Emden,7.2847846,53.350519,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9840081,03462,Wittmund,7.6873464,53.5757468,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9840391,03452,Aurich,7.314484,53.53331,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9841201,03457,Leer,7.5331271,53.1976919,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9842671,03457,Leer,7.2352699,53.1446583,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9842941,03462,Wittmund,7.7532969,53.6290825,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
NI_9843241,03462,Wittmund,7.6856124,53.5106641,point_in_polygon,BKG VG250 WFS (Stand 01.01.)
